,Tata Open,Tata High,Tata Low,Tata Close,Tata Adj Close,Tata Volume
03-08-2023,3364,3396,3330.850098,3390.399902,3390.399902,1844590
03-06-2023,3361.899902,3404.949951,3359,3371.850098,3371.850098,1334132
03-03-2023,3354,3358,3331.100098,3342.149902,3342.149902,1043190
03-02-2023,3361,3369.899902,3318,3321.449951,3321.449951,1556538
03-01-2023,3323,3389,3315,3385.699951,3385.699951,1669307
2/28/2023,3328.5,3392,3299.899902,3312.850098,3312.850098,4116217
2/27/2023,3390,3390,3316,3331.850098,3331.850098,1128022
2/24/2023,3422.5,3433.949951,3382.300049,3400.449951,3400.449951,977592
2/23/2023,3421,3452.399902,3408,3413.800049,3413.800049,1441570
2/22/2023,3414.949951,3447,3395,3401.550049,3401.550049,1218430
2/21/2023,3494,3508.899902,3444.75,3451,3451,1139541
2/20/2023,3502,3522,3475.050049,3487.300049,3487.300049,1296082
2/17/2023,3526.149902,3538.899902,3490,3501.149902,3501.149902,1061369
2/16/2023,3527.199951,3575,3527,3558.050049,3558.050049,1618931
2/15/2023,3487,3526,3460.149902,3520.649902,3520.649902,1429449
2/14/2023,3505,3524.850098,3495,3500.100098,3500.100098,1579818
2/13/2023,3549,3549,3473.399902,3482.399902,3482.399902,1087939
02-10-2023,3520,3542.350098,3508.149902,3537.550049,3537.550049,1187821
02-09-2023,3515,3547.600098,3505.300049,3540.850098,3540.850098,1655427
02-08-2023,3478.050049,3539.899902,3478.050049,3520.100098,3520.100098,1986946
02-07-2023,3468.899902,3493,3461.399902,3472.550049,3472.550049,1455647
02-06-2023,3473.149902,3473.149902,3436.850098,3459.949951,3459.949951,1138714
02-03-2023,3504,3504,3452.899902,3482.300049,3482.300049,1804469
02-02-2023,3427,3469,3420.100098,3460.399902,3460.399902,1813847
02-01-2023,3363,3419,3355,3408.350098,3408.350098,2205161
1/31/2023,3449,3449,3351,3358.699951,3358.699951,2820375
1/30/2023,3420,3458.449951,3385.550049,3433.649902,3433.649902,1953798
1/27/2023,3426,3446,3382.300049,3411.050049,3411.050049,1785879
1/25/2023,3425.300049,3435,3405,3429.75,3429.75,874110
1/24/2023,3425,3451.949951,3417.300049,3436.300049,3436.300049,1387863
1/23/2023,3388,3419,3355.600098,3414.899902,3414.899902,1067916
1/20/2023,3365,3394.649902,3355.600098,3363.100098,3363.100098,1529349
1/19/2023,3380,3387,3361,3373.100098,3373.100098,1585044
1/18/2023,3380,3408.949951,3372.25,3390,3390,2421189
1/17/2023,3330,3381.800049,3321,3378.399902,3378.399902,1688475
1/16/2023,3317,3353,3298.050049,3334.050049,3334.050049,1843607
1/13/2023,3342.899902,3379,3305,3374.550049,3307.550049,1742837
01-12-2023,3329,3350,3315.550049,3334.350098,3268.148193,2250391
01-11-2023,3290.100098,3349.5,3271.149902,3328.699951,3262.610352,2720512
01-10-2023,3285,3298,3230.100098,3286.399902,3221.150146,3864655
01-09-2023,3229,3327,3221.149902,3319.949951,3254.033936,2885060
01-06-2023,3300,3301.550049,3200,3211.550049,3147.786377,2488376
01-05-2023,3330.199951,3337.300049,3281.949951,3311.100098,3245.359863,1826057
01-04-2023,3306.699951,3327.350098,3286.199951,3314.649902,3248.839111,1231668
01-03-2023,3252,3320,3245.300049,3311.350098,3245.60498,1245178
01-02-2023,3261,3266.850098,3235.199951,3261.449951,3196.695557,709547
12/30/2022,3286.050049,3299,3246.199951,3256.699951,3192.039795,1163131
12/29/2022,3231.100098,3271.5,3228,3268.75,3203.850586,1037927
12/28/2022,3249.800049,3266.100098,3226,3257.100098,3192.432129,910795
12/27/2022,3269.199951,3273.800049,3231.5,3259.5,3194.784424,835883
12/26/2022,3228.350098,3272,3225.050049,3252.899902,3188.315186,870157
